"dept_id","dept_name","head_of_dept","total_students","total_faculty","building_name","year","email"
101,Architecture,Dr. Priya Patel,254,14,Science Tower,2017,architecture@university.com
102,Environmental Science,Dr. Anil Nair,292,15,Main Building,2001,environmentalscience@university.com
103,Philosophy,Dr. Sneha Verma,243,13,Central Block,2014,philosophy@university.com
104,Physics,Dr. Rajesh Mehta,312,21,Science Tower,2018,physics@university.com
105,Statistics,Dr. Pooja Verma,277,12,West Pavilion,2004,statistics@university.com
106,Mathematics,Dr. Meera Patel,244,20,Research Wing,2006,mathematics@university.com
107,Computer Science,Dr. Ravi Iyer,324,18,Innovation Hall,2015,computerscience@university.com
108,Cyber Security,Dr. Nisha Mehta,293,17,Tech Block A,2020,cybersecurity@university.com
109,Artificial Intelligence,Dr. Amit Patel,337,22,Science Tower,2009,artificialintelligence@university.com
110,Data Science,Dr. Priya Banerjee,311,19,Research Wing,2007,datascience@university.com
111,Biotechnology,Dr. Kiran Mehta,278,14,Innovation Hall,2011,biotechnology@university.com
112,Aerospace Engineering,Dr. Rajesh Verma,284,20,Science Tower,2012,aerospaceengineering@university.com
113,Civil Engineering,Dr. Meera Mehta,315,17,Tech Block A,2010,civilengineering@university.com
114,Electrical Engineering,Dr. Sneha Das,294,13,Innovation Hall,2005,electricalengineering@university.com
115,Mechanical Engineering,Dr. Ravi Mehta,304,15,Science Tower,2002,mechanicalengineering@university.com
116,Economics,Dr. Anil Kaur,263,17,Central Block,2016,economics@university.com
117,History,Dr. Pooja Verma,223,14,South Annex,2008,history@university.com
118,Political Science,Dr. Priya Mehta,298,15,Main Building,2013,politicalscience@university.com
119,Sociology,Dr. Amit Verma,254,11,Research Wing,2019,sociology@university.com
120,Psychology,Dr. Rajesh Patel,236,12,Science Tower,2020,psychology@university.com
121,Biology,Dr. Sunita Verma,212,14,Science Tower,2007,biology@university.com
122,Chemistry,Dr. Meera Singh,296,18,Research Wing,2004,chemistry@university.com
123,Genetics,Dr. Pooja Patel,288,16,Central Block,2010,genetics@university.com
124,Zoology,Dr. Amit Mehta,260,15,Main Building,2011,zoology@university.com
125,Botany,Dr. Ravi Nair,202,12,Science Tower,2003,botany@university.com
126,Food Technology,Dr. Sneha Kaur,330,19,Innovation Hall,2016,foodtechnology@university.com
127,Marine Biology,Dr. Priya Verma,285,18,Research Wing,2012,marinebiology@university.com
128,Agricultural Science,Dr. Rajesh Mehta,312,17,Science Tower,2009,agriculturalscience@university.com
129,Public Health,Dr. Meera Banerjee,270,14,South Annex,2005,publichealth@university.com
130,Pharmacy,Dr. Nisha Verma,350,23,Science Tower,2014,pharmacy@university.com
131,Medicine,Dr. Amit Iyer,386,21,Research Wing,2018,medicine@university.com
132,Nursing,Dr. Priya Patel,214,13,Main Building,2019,nursing@university.com
133,Law,Dr. Sneha Mehta,245,16,Innovation Hall,2008,law@university.com
134,Business Administration,Dr. Rajesh Nair,298,18,Science Tower,2012,businessadministration@university.com
135,Accounting,Dr. Sunita Singh,262,12,West Pavilion,2001,accounting@university.com
136,Finance,Dr. Ravi Mehta,344,19,Tech Block A,2015,finance@university.com
137,Marketing,Dr. Pooja Verma,326,20,Science Tower,2009,marketing@university.com
138,Human Resource Management,Dr. Anil Kaur,252,15,Central Block,2005,humanresourcemanagement@university.com
139,Operations Management,Dr. Meera Mehta,275,13,South Annex,2017,operationsmanagement@university.com
140,Economics,Dr. Priya Singh,284,14,Research Wing,2010,economics@university.com
141,History,Dr. Sneha Verma,241,12,Main Building,2011,history@university.com
142,Philosophy,Dr. Ravi Mehta,234,11,Science Tower,2003,philosophy@university.com
143,English Literature,Dr. Amit Patel,255,14,West Pavilion,2015,englishliterature@university.com
144,Political Science,Dr. Nisha Verma,210,15,Central Block,2019,politicalscience@university.com
145,Sociology,Dr. Rajesh Sharma,240,13,Research Wing,2008,sociology@university.com
146,Anthropology,Dr. Meera Banerjee,273,17,Main Building,2002,anthropology@university.com
147,Criminology,Dr. Sunita Patel,225,16,Innovation Hall,2018,criminology@university.com
148,International Relations,Dr. Priya Nair,258,14,Science Tower,2014,internationalrelations@university.com
149,Architecture,Dr. Ravi Verma,266,15,Research Wing,2007,architecture@university.com
150,Environmental Science,Dr. Sneha Mehta,324,18,Science Tower,2013,environmentalscience@university.com
151,Physics,Dr. Rajesh Iyer,298,19,Main Building,2017,physics@university.com
152,Mathematics,Dr. Kiran Patel,306,17,Science Tower,2006,mathematics@university.com
153,Statistics,Dr. Pooja Verma,254,13,Research Wing,2004,statistics@university.com
154,Chemistry,Dr. Meera Mehta,273,16,South Annex,2009,chemistry@university.com
155,Biology,Dr. Amit Kaur,294,15,Science Tower,2015,biology@university.com
156,Botany,Dr. Rajesh Verma,190,12,Main Building,2002,botany@university.com
157,Zoology,Dr. Sneha Patel,218,14,Innovation Hall,2018,zoology@university.com
158,Genetics,Dr. Ravi Nair,300,18,Research Wing,2005,genetics@university.com
159,Biotechnology,Dr. Priya Mehta,284,20,Science Tower,2016,biotechnology@university.com
160,Aerospace Engineering,Dr. Sunita Verma,276,17,Innovation Hall,2010,aerospaceengineering@university.com
161,Civil Engineering,Dr. Rajesh Mehta,332,16,Tech Block A,2007,civilengineering@university.com
162,Mechanical Engineering,Dr. Pooja Nair,345,21,Science Tower,2013,mechanicalengineering@university.com
163,Electrical Engineering,Dr. Meera Singh,290,19,Innovation Hall,2011,electricalengineering@university.com
164,Computer Science,Dr. Anil Verma,342,17,Tech Block A,2014,computerscience@university.com
165,Data Science,Dr. Priya Patel,314,18,Science Tower,2019,datascience@university.com
166,Artificial Intelligence,Dr. Sneha Mehta,335,20,Research Wing,2020,artificialintelligence@university.com
167,Cyber Security,Dr. Rajesh Banerjee,305,21,Tech Block A,2015,cybersecurity@university.com
168,Robotics,Dr. Kiran Patel,270,19,Innovation Hall,2017,robotics@university.com
169,Design,Dr. Meera Verma,299,15,Main Building,2010,design@university.com
170,Fine Arts,Dr. Amit Nair,206,11,Science Tower,2009,finearts@university.com
171,Music,Dr. Ravi Singh,185,10,Central Block,2001,music@university.com
172,Theatre,Dr. Sneha Verma,193,11,West Pavilion,2006,theatre@university.com
173,Film Studies,Dr. Rajesh Mehta,245,13,Science Tower,2008,filmstudies@university.com
174,Media Studies,Dr. Sunita Patel,273,14,Research Wing,2012,mediastudies@university.com
175,Library Science,Dr. Priya Verma,282,17,Science Tower,2013,libraryscience@university.com
176,Tourism Management,Dr. Amit Patel,236,15,Main Building,2019,tourismmanagement@university.com
177,Hospitality Management,Dr. Ravi Banerjee,260,18,Research Wing,2007,hospitalitymanagement@university.com
178,Urban Planning,Dr. Meera Singh,293,16,Science Tower,2003,urbanplanning@university.com
179,Public Health,Dr. Sneha Verma,255,15,Central Block,2015,publichealth@university.com
180,Pharmacy,Dr. Rajesh Mehta,320,22,Science Tower,2021,pharmacy@university.com
181,Medicine,Dr. Priya Nair,384,24,Research Wing,2017,medicine@university.com
182,Nursing,Dr. Amit Kaur,216,13,Main Building,2011,nursing@university.com
183,Veterinary Science,Dr. Kiran Patel,201,11,Science Tower,2004,veterinaryscience@university.com
184,Agricultural Science,Dr. Meera Verma,272,18,Research Wing,2009,agriculturalscience@university.com
185,Food Technology,Dr. Pooja Mehta,312,19,Science Tower,2013,foodtechnology@university.com
186,Marine Biology,Dr. Rajesh Verma,288,17,Innovation Hall,2018,marinebiology@university.com
187,Genetics,Dr. Sneha Verma,266,16,Science Tower,2007,genetics@university.com
188,Botany,Dr. Ravi Mehta,214,14,Main Building,2014,botany@university.com
189,Zoology,Dr. Sunita Patel,238,13,Science Tower,2010,zoology@university.com
190,Biotechnology,Dr. Priya Verma,284,19,Research Wing,2015,biotechnology@university.com
191,Chemical Engineering,Dr. Amit Mehta,310,21,Innovation Hall,2016,chemicalengineering@university.com
192,Physics,Dr. Rajesh Patel,277,17,Science Tower,2008,physics@university.com
193,Mathematics,Dr. Sneha Verma,266,15,Main Building,2002,mathematics@university.com
194,Statistics,Dr. Priya Singh,228,13,Science Tower,2005,statistics@university.com
195,Computer Science,Dr. Amit Verma,334,18,Tech Block A,2013,computerscience@university.com
196,Electrical Engineering,Dr. Meera Patel,310,17,Innovation Hall,2010,electricalengineering@university.com
197,Mechanical Engineering,Dr. Rajesh Verma,298,19,Science Tower,2014,mechanicalengineering@university.com
198,Civil Engineering,Dr. Sneha Mehta,327,20,Tech Block A,2020,civilengineering@university.com
199,Data Science,Dr. Kiran Patel,318,22,Science Tower,2018,datascience@university.com
200,Artificial Intelligence,Dr. Priya Mehta,330,21,Research Wing,2021,artificialintelligence@university.com
